Course No,Section,Instructor,Enrollment,Responses,Percent
CHEM 6C,A03,"Bussey, Thomas J",43,25,58.14%
CHEM 6C,A04,"Bussey, Thomas J",42,27,64.29%
CHEM 6C,A05,"Bussey, Thomas J",42,16,38.10%
CHEM 6C,A06,"Bussey, Thomas J",39,24,61.54%
CHEM 6C,A07,"Bussey, Thomas J",41,19,46.34%
CHEM 6C,A08,"Bussey, Thomas J",37,17,45.95%
CHEM 6C,A09,"Bussey, Thomas J",37,17,45.95%
CHEM 6C,A10,"Bussey, Thomas J",31,14,45.16%
CHEM 7L,A01,"Kim, Judy E.",24,13,54.17%
CHEM 7L,A02,"Kim, Judy E.",23,12,52.17%
CHEM 7L,A03,"Kim, Judy E.",23,12,52.17%
CHEM 7L,A04,"Kim, Judy E.",22,12,54.55%
CHEM 7L,A05,"Kim, Judy E.",23,13,56.52%
CHEM 7L,A06,"Kim, Judy E.",19,8,42.11%
CHEM 7L,A07,"Kim, Judy E.",22,7,31.82%
CHEM 7L,A08,"Kim, Judy E.",22,11,50.00%
CHEM 7L,A09,"Kim, Judy E.",22,13,59.09%
CHEM 7L,A10,"Kim, Judy E.",23,13,56.52%
CHEM 7L,A11,"Kim, Judy E.",22,10,45.45%
CHEM 7L,A12,"Kim, Judy E.",19,9,47.37%
CHEM 7L,A13,"Kim, Judy E.",22,16,72.73%
CHEM 7L,B01,"Kim, Judy E.",22,14,63.64%
CHEM 7L,B02,"Kim, Judy E.",23,9,39.13%
CHEM 7L,B03,"Kim, Judy E.",20,12,60.00%
CHEM 7L,B04,"Kim, Judy E.",23,12,52.17%
CHEM 7L,B05,"Kim, Judy E.",21,13,61.90%
CHEM 7L,B06,"Kim, Judy E.",22,7,31.82%
CHEM 7L,B07,"Kim, Judy E.",24,12,50.00%
CHEM 7L,B08,"Kim, Judy E.",24,9,37.50%
CHEM 7L,B09,"Kim, Judy E.",19,7,36.84%
CHEM 7L,B10,"Kim, Judy E.",23,12,52.17%
CHEM 7L,B11,"Kim, Judy E.",23,14,60.87%
CHEM 7L,B12,"Kim, Judy E.",22,12,54.55%
CHEM 7L,B13,"Kim, Judy E.",24,9,37.50%
CHEM 7L,B14,"Kim, Judy E.",24,9,37.50%
CHEM 7L,B15,"Kim, Judy E.",21,5,23.81%
CHEM 87,A00,"Bussey, Thomas J",17,9,52.94%
CHEM 96,A00,"Bussey, Thomas J",14,8,57.14%
CHIN 100AM,A00,"Anderson, Qin-Hong",17,16,94.12%
CHIN 100AN,A00,"Xu, Li",14,7,50.00%
CHIN 10AD,A01,"Chen, Pei-Chia",12,6,50.00%
CHIN 10AD,A02,"Chen, Pei-Chia",13,9,69.23%
CHIN 10AD,B02,"Chen, Pei-Chia",10,5,50.00%
CHIN 10AD,B03,"Chen, Pei-Chia",9,4,44.44%
CHIN 10AM,A02,"Xu, Li",13,5,38.46%
CHIN 10AM,A03,"Xu, Li",11,5,45.45%
CHIN 10AN,A01,"Cha, Samuel",12,6,50.00%
CHIN 10AN,A02,"Cha, Samuel",12,8,66.67%
CHIN 10AN,A03,"Cha, Samuel",9,4,44.44%
CHIN 10AN,B01,"Cha, Samuel",9,5,55.56%
CHIN 10AN,B02,"Cha, Samuel",11,4,36.36%
CHIN 10AN,B03,"Cha, Samuel",8,2,25.00%
CHIN 10AN,C01,"Cha, Samuel",11,5,45.45%
CHIN 10AN,C02,"Cha, Samuel",11,4,36.36%
CHIN 186A,A00,"Xu, Li",10,9,90.00%
CHIN 20AD,A02,"Wang, Xiao",13,9,69.23%
CHIN 20AD,A03,"Wang, Xiao",14,6,42.86%
CHIN 20AD,B01,"Wang, Xiao",13,4,30.77%
CHIN 20AD,B02,"Wang, Xiao",14,5,35.71%
CHIN 20AM,A01,"Wang, Xiao",12,1,8.33%
CHIN 20AM,A02,"Wang, Xiao",13,4,30.77%
CHIN 20AM,A03,"Wang, Xiao",13,8,61.54%
CHIN 20AN,A01,"Anderson, Qin-Hong",7,7,100.00%
CHIN 20AN,A02,"Anderson, Qin-Hong",12,12,100.00%
CHIN 20AN,A03,"Anderson, Qin-Hong",10,9,90.00%
CHIN 20AN,B01,"Anderson, Qin-Hong",9,7,77.78%
CHIN 20AN,B02,"Anderson, Qin-Hong",6,5,83.33%
CHIN 20AN,B03,"Anderson, Qin-Hong",8,7,87.50%
COGS 1,A01,"Boyle, Mary E. T.",62,50,80.65%
COGS 1,A02,"Boyle, Mary E. T.",55,50,90.91%
COGS 1,A03,"Boyle, Mary E. T.",59,54,91.53%
COGS 1,A04,"Boyle, Mary E. T.",60,56,93.33%
COGS 1,A05,"Boyle, Mary E. T.",63,58,92.06%
COGS 1,A06,"Boyle, Mary E. T.",58,52,89.66%
COGS 1,A07,"Boyle, Mary E. T.",56,52,92.86%
COGS 1,A08,"Boyle, Mary E. T.",57,54,94.74%
COGS 10,A01,"Scott, Taylor Jackson",52,47,90.38%
COGS 10,A02,"Scott, Taylor Jackson",50,40,80.00%
COGS 10,A03,"Scott, Taylor Jackson",52,48,92.31%
COGS 10,A04,"Scott, Taylor Jackson",55,46,83.64%
COGS 10,A05,"Scott, Taylor Jackson",52,46,88.46%
COGS 100,A01,"Kirsh, David Joel",50,47,94.00%
COGS 100,A02,"Kirsh, David Joel",47,42,89.36%
COGS 100,A03,"Kirsh, David Joel",42,37,88.10%
COGS 101C,A01,"Momma, Shota",58,29,50.00%
COGS 101C,A02,"Momma, Shota",61,28,45.90%
COGS 101C,A03,"Momma, Shota",62,22,35.48%
COGS 101C,A04,"Momma, Shota",60,24,40.00%
COGS 102A,A02,"Scott, Taylor Jackson",47,44,93.62%
COGS 102A,A03,"Scott, Taylor Jackson",51,44,86.27%
COGS 102A,A04,"Scott, Taylor Jackson",48,40,83.33%
COGS 107A,A01,"Rangel, Lara M",56,23,41.07%
COGS 107A,A02,"Rangel, Lara M",59,30,50.85%
COGS 107A,A03,"Rangel, Lara M",57,30,52.63%
COGS 107A,A04,"Rangel, Lara M",30,16,53.33%
COGS 109,A01,"Mukamel, Eran A",35,23,65.71%
COGS 109,A02,"Mukamel, Eran A",26,18,69.23%
COGS 109,A03,"Mukamel, Eran A",36,25,69.44%
COGS 109,A04,"Mukamel, Eran A",38,26,68.42%
COGS 11,A01,"Boyle, Mary E. T.",63,39,61.90%
COGS 11,A02,"Boyle, Mary E. T.",58,34,58.62%
COGS 11,A03,"Boyle, Mary E. T.",61,31,50.82%
COGS 110,A00,"Deak, Gedeon O.",76,39,51.32%
COGS 118A,A01,"Tu, Zhuowen",53,24,45.28%
COGS 118A,A02,"Tu, Zhuowen",52,16,30.77%
COGS 118A,A03,"Tu, Zhuowen",52,19,36.54%
COGS 118B,A01,"De Sa, Virginia",54,12,22.22%
COGS 118B,A02,"De Sa, Virginia",25,9,36.00%
COGS 118B,A03,"De Sa, Virginia",21,8,38.10%
COGS 118B,A04,"De Sa, Virginia",23,5,21.74%
COGS 119,A00,"Saygin, Ayse P",36,22,61.11%
COGS 120,A01,"Guo, Philip J",29,11,37.93%
COGS 120,A02,"Guo, Philip J",31,14,45.16%
COGS 120,A03,"Guo, Philip J",30,13,43.33%
COGS 120,A04,"Guo, Philip J",31,17,54.84%
COGS 120,A05,"Guo, Philip J",30,17,56.67%
COGS 124,A00,"Guo, Philip J",32,21,65.63%
COGS 144,A01,"Sanchez Amaro, Alejandro",42,21,50.00%
COGS 14A,A01,"Kim, Seung Kyung",59,54,91.53%
COGS 14A,A02,"Kim, Seung Kyung",51,43,84.31%
COGS 14A,A03,"Kim, Seung Kyung",52,38,73.08%
COGS 14B,A01,"Kim, Seung Kyung",64,52,81.25%
COGS 15,A01,"Bergen, Benjamin",47,34,72.34%
COGS 15,A02,"Bergen, Benjamin",43,27,62.79%
COGS 15,A03,"Bergen, Benjamin",25,17,68.00%
COGS 160,A00,"Deak, Gedeon O.",7,3,42.86%
COGS 17,A01,"Johnson, Christine M.",48,26,54.17%
COGS 17,A02,"Johnson, Christine M.",51,25,49.02%
COGS 17,A03,"Johnson, Christine M.",48,25,52.08%
COGS 17,A04,"Johnson, Christine M.",47,19,40.43%
COGS 17,A05,"Johnson, Christine M.",52,37,71.15%
COGS 17,A06,"Johnson, Christine M.",53,29,54.72%
COGS 170,A01,"Rangel, Lara M",55,44,80.00%
COGS 18,A01,"Donoghue, Thomas",30,18,60.00%
COGS 18,A02,"Donoghue, Thomas",34,18,52.94%
COGS 18,A03,"Donoghue, Thomas",37,23,62.16%
COGS 18,A04,"Donoghue, Thomas",32,17,53.13%
COGS 18,A05,"Donoghue, Thomas",38,16,42.11%
COGS 18,A06,"Donoghue, Thomas",38,18,47.37%
COGS 187A,A01,"Kirsh, David Joel",74,46,62.16%
COGS 3,A01,"Miller, Carson Grant",33,17,51.52%
COGS 3,A02,"Miller, Carson Grant",35,21,60.00%
COGS 3,A03,"Miller, Carson Grant",31,23,74.19%
COGS 3,A04,"Miller, Carson Grant",31,20,64.52%
COGS 3,A05,"Miller, Carson Grant",33,28,84.85%
COGS 87,A00,"Deak, Gedeon O.",15,9,60.00%
COGS 9,A01,"Voytek, Bradley Thomas",60,14,23.33%
COGS 9,A02,"Voytek, Bradley Thomas",63,17,26.98%
COGS 9,A03,"Voytek, Bradley Thomas",66,21,31.82%
COGS 9,A04,"Voytek, Bradley Thomas",63,23,36.51%
COGS 9,A05,"Voytek, Bradley Thomas",63,25,39.68%
COGS 9,A06,"Voytek, Bradley Thomas",46,25,54.35%
COGS 9,A07,"Voytek, Bradley Thomas",45,27,60.00%
COMM 10,A01,"Boateng, Boatema",27,13,48.15%
COMM 10,A02,"Boateng, Boatema",26,12,46.15%
COMM 10,A03,"Boateng, Boatema",28,13,46.43%
COMM 10,A04,"Boateng, Boatema",26,15,57.69%
COMM 10,A05,"Boateng, Boatema",27,9,33.33%
COMM 10,A06,"Boateng, Boatema",25,11,44.00%
COMM 10,A07,"Boateng, Boatema",26,15,57.69%
COMM 10,A10,"Boateng, Boatema",29,11,37.93%
COMM 10,B02,"Boateng, Boatema",28,12,42.86%
COMM 10,B04,"Boateng, Boatema",27,11,40.74%
COMM 10,B05,"Boateng, Boatema",26,14,53.85%
COMM 10,B06,"Boateng, Boatema",26,11,42.31%
COMM 10,B07,"Boateng, Boatema",25,12,48.00%
COMM 10,B08,"Boateng, Boatema",25,11,44.00%
COMM 100A,A01,"Booker, Angela N",26,8,30.77%
COMM 100A,A02,"Booker, Angela N",25,6,24.00%
COMM 100A,A03,"Booker, Angela N",27,11,40.74%
COMM 100A,A04,"Booker, Angela N",26,11,42.31%
COMM 100A,A05,"Booker, Angela N",20,9,45.00%
COMM 100A,A06,"Booker, Angela N",25,9,36.00%
COMM 100A,A07,"Booker, Angela N",23,14,60.87%
COMM 100A,A09,"Booker, Angela N",25,14,56.00%
COMM 100A,A10,"Booker, Angela N",21,11,52.38%
COMM 100A,A12,"Booker, Angela N",24,15,62.50%
COMM 100A,A13,"Booker, Angela N",24,15,62.50%
COMM 100A,A14,"Booker, Angela N",23,13,56.52%
COMM 100A,A15,"Booker, Angela N",27,12,44.44%
COMM 101,A01,"Martinico, Daniel J",19,7,36.84%
COMM 101,A02,"Martinico, Daniel J",20,17,85.00%
COMM 101,A03,"Martinico, Daniel J",16,6,37.50%
COMM 101,A04,"Martinico, Daniel J",20,17,85.00%
COMM 101D,A00,"Martinico, Daniel J",20,10,50.00%
COMM 101K,A00,"Davis, Zeinabu I.",15,4,26.67%
COMM 102C,A01,"Campion, Camille E",6,2,33.33%
COMM 102C,A02,"Campion, Camille E",7,1,14.29%
COMM 102C,A03,"Campion, Camille E",5,1,20.00%
COMM 103D,A00,"Davis, Zeinabu I.",38,9,23.68%
COMM 103E,A00,"Muria, Magali",18,12,66.67%
COMM 103F,A00,"Kovacs, Andras Balint",64,27,42.19%
COMM 104G,A00,"Hallin, Daniel C",16,4,25.00%
COMM 105P,A00,"Ridlen, Timothy Michael",38,29,76.32%
COMM 111A,A00,"Whitworth-Smith, Andrew C",29,26,89.66%
COMM 111G,A00,"Kidman, Shawna F",78,24,30.77%
COMM 111T,A00,"Iatarola, Briana Marie",31,16,51.61%
COMM 113T,A00,"Dubee, Alex William",43,22,51.16%
COMM 114T,A00,"Pezzoli, Keith",27,11,40.74%
COMM 120I,A00,"Dewey, Matthew D",15,2,13.33%
COMM 120W,B00,"Simmons, Candice G",24,6,25.00%
COMM 127,A00,"Hickman, Louise",15,7,46.67%
COMM 131,A00,"Fields, Gary",38,7,18.42%
COMM 140,A00,"Cortes, Diego M",43,38,88.37%
COMM 145,A00,"Anderson, Patrick W.",84,32,38.10%
COMM 146,A00,"Kovacs, Andras Balint",22,10,45.45%
COMM 151,A00,"Simmons, Candice G",20,5,25.00%
COMM 172,A00,"Guarrasi, Ivana",6,4,66.67%
COMM 173,A00,"Alac, Morana",41,19,46.34%
COMM 190,A00,"Hartouni, Valerie A",20,6,30.00%
COMM 190,B00,"Sims, Christopher O",23,13,56.52%
COMM 190,C00,"Hallin, Daniel C",15,5,33.33%
COMM 190,D00,"Booker, Angela N",25,7,28.00%
COMM 194,A00,"Kernell, Samuel H.",2,0,0.00%
CSE 100,A01,"Porter, Leonard Emerson",298,263,88.26%
CSE 100,B01,"Sahoo, Debashis",131,112,85.50%
CSE 101,A01,"Kane, Daniel Mertz",53,26,49.06%
CSE 101,A02,"Kane, Daniel Mertz",50,21,42.00%
CSE 101,A03,"Kane, Daniel Mertz",45,20,44.44%
CSE 101,B01,"Ochoa, Benjamin Lawrence",62,19,30.65%
CSE 101,B02,"Ochoa, Benjamin Lawrence",63,14,22.22%
CSE 101,B03,"Ochoa, Benjamin Lawrence",61,17,27.87%
CSE 103,A02,"Freund, Yoav",46,16,34.78%
CSE 103,A03,"Freund, Yoav",35,16,45.71%
CSE 103,A05,"Freund, Yoav",41,18,43.90%
CSE 103,A06,"Freund, Yoav",23,9,39.13%
CSE 105,A01,"Jones, Miles E",47,18,38.30%
CSE 105,A02,"Jones, Miles E",39,11,28.21%
CSE 105,B01,"Jones, Miles E",74,31,41.89%
CSE 105,B02,"Jones, Miles E",66,18,27.27%
CSE 107,A01,"Bellare, Mihir",61,24,39.34%
CSE 11,A00,"Ord, Richard",325,192,59.08%
CSE 11,B00,"Ord, Richard",155,85,54.84%
CSE 110,A50,"Gillespie, Gary N",46,17,36.96%
CSE 110,A51,"Gillespie, Gary N",47,18,38.30%
CSE 110,A52,"Gillespie, Gary N",48,19,39.58%
CSE 110,A53,"Gillespie, Gary N",48,12,25.00%
CSE 110,A54,"Gillespie, Gary N",45,14,31.11%
CSE 110,A55,"Gillespie, Gary N",16,3,18.75%
CSE 118,A00,"Weibel, Nadir",18,7,38.89%
CSE 12,A01,"Allos, Haytham Issa",154,128,83.12%
CSE 12,B01,"Zaitsev, Anna L",145,123,84.83%
CSE 120,A01,"Zhou, Yuan-Yuan",119,58,48.74%
CSE 120,B01,"Zhou, Yuan-Yuan",95,41,43.16%
CSE 123,B01,"Snoeren, Alex C.",113,39,34.51%
CSE 127,A01,"Savage, Stefan",168,53,31.55%
CSE 130,B00,"Lerner, Sorin",174,155,89.08%
CSE 131,A01,"Jhala, Ranjit",71,23,32.39%
CSE 132A,A01,"Vianu, Victor Dan",152,43,28.29%
CSE 134B,A00,"Powell, Thomas Allan",130,35,26.92%
CSE 140,A01,"Chin, Bryan W.",134,123,91.79%
CSE 140L,A01,"Eldon, John",154,61,39.61%
CSE 141,A01,"Swanson, Steven James",103,34,33.01%
CSE 141L,A01,"Eldon, John",100,24,24.00%
CSE 150,A01,"Alvarado, Christine J.",71,41,57.75%
CSE 150,A02,"Alvarado, Christine J.",65,40,61.54%
CSE 152,A01,"Su, Hao",58,35,60.34%
CSE 158,A01,"McAuley, Julian John",357,117,32.77%
CSE 15L,A01,"Gillespie, Gary N",41,21,51.22%
CSE 15L,A02,"Gillespie, Gary N",44,19,43.18%
CSE 15L,A03,"Gillespie, Gary N",41,16,39.02%
CSE 15L,A04,"Gillespie, Gary N",42,23,54.76%
CSE 15L,B01,"Gillespie, Gary N",43,27,62.79%
CSE 15L,B02,"Gillespie, Gary N",40,24,60.00%
CSE 15L,B03,"Gillespie, Gary N",23,17,73.91%
CSE 15L,B04,"Gillespie, Gary N",41,27,65.85%
CSE 15L,C01,"Gillespie, Gary N",29,17,58.62%
CSE 15L,C02,"Gillespie, Gary N",32,14,43.75%
CSE 15L,C03,"Gillespie, Gary N",26,13,50.00%
CSE 167,A00,"Schulze, Jurgen P.",96,26,27.08%
CSE 170,A01,"Guo, Philip J",28,12,42.86%
CSE 170,A02,"Guo, Philip J",27,13,48.15%
CSE 170,A03,"Guo, Philip J",28,17,60.71%
CSE 170,A04,"Guo, Philip J",28,12,42.86%
CSE 170,A05,"Guo, Philip J",28,10,35.71%
CSE 190,A00,"Paturi, Ramamohan",20,12,60.00%
CSE 190,B00,"Bandeira, Nuno Filipe Cabrita",15,8,53.33%
CSE 190,C00,"Cottrell, Garrison W",79,24,30.38%
CSE 190,D00,"Kumar, Rakesh",22,19,86.36%
CSE 191,A00,"Halicioglu, Daniel T",25,5,20.00%
CSE 191,B00,"Minnes Kemp, Mor Mia",7,0,0.00%
CSE 193,A01,"Alvarado, Christine J.",49,22,44.90%
CSE 20,A01,"Jones, Miles E",166,71,42.77%
CSE 20,B01,"Cosman, Benjamin Leverett",74,35,47.30%
CSE 21,A01,"Bach, Quang Tran",169,79,46.75%
CSE 21,A02,"Bach, Quang Tran",205,104,50.73%
CSE 3,B51,"Zaitsev, Anna L",32,22,68.75%
CSE 3,B52,"Zaitsev, Anna L",35,32,91.43%
CSE 3,B53,"Zaitsev, Anna L",30,27,90.00%
CSE 30,A01,"Cao, Yingjun",158,103,65.19%
CSE 30,B01,"Cao, Yingjun",156,107,68.59%
CSE 42,A00,"Swanson, Steven James",19,14,73.68%
CSE 42,B00,"Swanson, Steven James",30,20,66.67%
CSE 5A,A01,"Miranda, Gregory Joseph",20,7,35.00%
CSE 5A,A02,"Miranda, Gregory Joseph",16,7,43.75%
CSE 5A,A03,"Miranda, Gregory Joseph",20,6,30.00%
CSE 87,A00,"Cottrell, Garrison W",26,15,57.69%
CSE 8A,A50,"Minnes Kemp, Mor Mia",51,46,90.20%
CSE 8A,A51,"Minnes Kemp, Mor Mia",54,44,81.48%
CSE 8A,A52,"Minnes Kemp, Mor Mia",52,38,73.08%
CSE 8A,B50,"Politz, Joseph Gibbs",57,37,64.91%
CSE 8A,B51,"Politz, Joseph Gibbs",55,44,80.00%
CSE 8A,B52,"Politz, Joseph Gibbs",56,44,78.57%
CSE 8A,C50,"Minnes Kemp, Mor Mia",56,41,73.21%
CSE 8A,C51,"Minnes Kemp, Mor Mia",54,41,75.93%
CSE 8A,C52,"Minnes Kemp, Mor Mia",53,43,81.13%
CSE 8A,D50,"Politz, Joseph Gibbs",52,39,75.00%
CSE 8A,D51,"Politz, Joseph Gibbs",55,49,89.09%
CSE 8A,D52,"Politz, Joseph Gibbs",52,43,82.69%
CSE 8B,A01,"Cao, Yingjun",109,82,75.23%
CSE 91,A00,"Jemmott, Colin William",14,8,57.14%
CSE 91,B00,"Jemmott, Colin William",7,3,42.86%
CSE 91,C00,"Fraenkel, Aaron Mcmillan",21,10,47.62%
CSE 95,B00,"Politz, Joseph Gibbs",89,81,91.01%
CSE 95,C00,"Politz, Joseph Gibbs",29,25,86.21%
DOC 1,A01,"Solomon, Amanda Lee Albaniel",16,16,100.00%
DOC 1,A02,"Solomon, Amanda Lee Albaniel",15,14,93.33%
DOC 1,A03,"Solomon, Amanda Lee Albaniel",16,15,93.75%
DOC 1,A04,"Solomon, Amanda Lee Albaniel",16,16,100.00%
DOC 1,A05,"Solomon, Amanda Lee Albaniel",16,15,93.75%
DOC 1,A06,"Solomon, Amanda Lee Albaniel",16,15,93.75%
DOC 1,A07,"Solomon, Amanda Lee Albaniel",16,14,87.50%
DOC 1,A08,"Solomon, Amanda Lee Albaniel",16,15,93.75%
DOC 1,A09,"Solomon, Amanda Lee Albaniel",16,15,93.75%
DOC 1,A10,"Solomon, Amanda Lee Albaniel",14,14,100.00%
DOC 1,A11,"Solomon, Amanda Lee Albaniel",16,16,100.00%
DOC 1,A12,"Solomon, Amanda Lee Albaniel",16,14,87.50%
DOC 1,A13,"Solomon, Amanda Lee Albaniel",16,16,100.00%
DOC 1,A14,"Solomon, Amanda Lee Albaniel",16,16,100.00%
DOC 1,A15,"Solomon, Amanda Lee Albaniel",16,16,100.00%
DOC 1,A16,"Solomon, Amanda Lee Albaniel",16,16,100.00%
DOC 1,A17,"Solomon, Amanda Lee Albaniel",15,14,93.33%
DOC 1,A18,"Solomon, Amanda Lee Albaniel",15,13,86.67%
DOC 1,B01,"Strom, Megan C.",16,16,100.00%
DOC 1,B02,"Strom, Megan C.",15,15,100.00%
DOC 1,B03,"Strom, Megan C.",15,15,100.00%
DOC 1,B04,"Strom, Megan C.",16,16,100.00%
DOC 1,B05,"Strom, Megan C.",16,14,87.50%
DOC 1,B06,"Strom, Megan C.",16,16,100.00%
DOC 1,B07,"Strom, Megan C.",16,16,100.00%
DOC 1,B08,"Strom, Megan C.",16,16,100.00%
DOC 1,B09,"Strom, Megan C.",16,15,93.75%
DOC 1,B10,"Strom, Megan C.",16,15,93.75%
DOC 1,B11,"Strom, Megan C.",16,15,93.75%
DOC 1,B12,"Strom, Megan C.",16,14,87.50%
DOC 1,B13,"Strom, Megan C.",16,15,93.75%
DOC 1,B14,"Strom, Megan C.",15,15,100.00%
DOC 1,B15,"Strom, Megan C.",16,16,100.00%
DOC 1,B16,"Strom, Megan C.",16,16,100.00%
DOC 1,B17,"Strom, Megan C.",16,16,100.00%
DOC 1,B18,"Strom, Megan C.",16,15,93.75%
DOC 1,B19,"Strom, Megan C.",16,15,93.75%
DOC 1,B20,"Strom, Megan C.",16,15,93.75%
DOC 1,C01,"Strom, Megan C.",16,16,100.00%
DOC 1,C02,"Strom, Megan C.",16,16,100.00%
DOC 1,C03,"Strom, Megan C.",15,14,93.33%
DOC 1,C04,"Strom, Megan C.",15,13,86.67%
DOC 1,C05,"Strom, Megan C.",16,16,100.00%
DOC 1,C06,"Strom, Megan C.",16,16,100.00%
DOC 1,C07,"Strom, Megan C.",16,15,93.75%
DOC 1,C08,"Strom, Megan C.",16,16,100.00%
DOC 1,C09,"Strom, Megan C.",16,16,100.00%
DOC 1,C10,"Strom, Megan C.",16,16,100.00%
DOC 1,C11,"Strom, Megan C.",16,16,100.00%
DOC 1,C12,"Strom, Megan C.",15,15,100.00%
DOC 1,C13,"Strom, Megan C.",16,15,93.75%
DOC 1,C14,"Strom, Megan C.",16,16,100.00%
DOC 1,C15,"Strom, Megan C.",15,15,100.00%
DOC 1,C16,"Strom, Megan C.",16,15,93.75%
DOC 1,C17,"Strom, Megan C.",16,15,93.75%
DOC 1,C18,"Strom, Megan C.",16,15,93.75%
DOC 1,D01,"Johnston, Emily Ronay",16,16,100.00%
DOC 1,D02,"Johnston, Emily Ronay",16,16,100.00%
DOC 1,D03,"Johnston, Emily Ronay",15,14,93.33%
DOC 1,D04,"Johnston, Emily Ronay",16,16,100.00%
DOC 1,D05,"Johnston, Emily Ronay",16,15,93.75%
DOC 1,D06,"Johnston, Emily Ronay",16,14,87.50%
DOC 1,D07,"Johnston, Emily Ronay",16,16,100.00%
DOC 1,D08,"Johnston, Emily Ronay",16,15,93.75%
DOC 100D,A00,"Pass, Natalye Joann",23,14,60.87%
DOC 100D,B00,"Pass, Natalye Joann",26,17,65.38%
DSC 10,A01,"Eldridge, Justin Matthew",140,61,43.57%
DSC 10,B01,"Fraenkel, Aaron Mcmillan",143,54,37.76%
DSC 20,A01,"Langlois, Marina",79,22,27.85%
DSC 30,A01,"Langlois, Marina",73,39,53.42%
DSC 30,B01,"Langlois, Marina",15,3,20.00%
DSC 40A,A01,"Tiefenbruck, Janine LoBue",64,36,56.25%
DSC 40A,C01,"Tiefenbruck, Janine LoBue",30,14,46.67%
DSC 40B,A01,"Eldridge, Justin Matthew",24,15,62.50%
DSGN 1,A05,"Meyer, Michael Wayne",56,28,50.00%
DSGN 1,A06,"Meyer, Michael Wayne",52,17,32.69%
DSGN 1,A07,"Meyer, Michael Wayne",58,25,43.10%
DSGN 119,A00,"Hollan, James D.",23,5,21.74%
DSGN 90,A00,"Klemmer, Scott R",18,6,33.33%
DSGN 90,B00,"Klemmer, Scott R",7,3,42.86%
ECE 100,A01,"Sievenpiper, Daniel F.",27,14,51.85%
ECE 100,A02,"Sievenpiper, Daniel F.",24,16,66.67%
ECE 100,A03,"Sievenpiper, Daniel F.",13,9,69.23%
ECE 100,A04,"Sievenpiper, Daniel F.",20,16,80.00%
ECE 100,A05,"Sievenpiper, Daniel F.",10,8,80.00%
ECE 100,A06,"Sievenpiper, Daniel F.",29,19,65.52%
ECE 100,A07,"Sievenpiper, Daniel F.",20,18,90.00%
ECE 101,A01,"Siegel, Paul H.",83,54,65.06%
ECE 101,A02,"Siegel, Paul H.",45,30,66.67%
ECE 102,A00,"Hall, Drew A.",54,23,42.59%
ECE 103,A01,"Ng, Tse Nga",18,9,50.00%
ECE 103,A02,"Ng, Tse Nga",25,11,44.00%
ECE 107,A01,"Lomakin, Vitaliy",33,13,39.39%
ECE 107,A02,"Lomakin, Vitaliy",18,10,55.56%
ECE 109,A01,"Zeger, Kenneth A.",49,22,44.90%
ECE 109,A02,"Zeger, Kenneth A.",44,15,34.09%
ECE 111,A01,"Koushanfar, Farinaz",42,35,83.33%
ECE 121A,A50,"Esmaili, Gholamreza",21,10,47.62%
ECE 121A,A51,"Esmaili, Gholamreza",13,2,15.38%
ECE 121A,A52,"Esmaili, Gholamreza",17,2,11.76%
ECE 135A,A00,"Kuzum, Duygu",15,10,66.67%
ECE 143,A00,"Unpingco, Jose H.",92,75,81.52%
ECE 144,A01,"Phan, Alex Minh Giang",16,14,87.50%
ECE 145AL,A01,"Hildebrand, John A",13,4,30.77%
ECE 148,A01,"de Oliveira, Mauricio",12,6,50.00%
ECE 15,A01,"Vardy, Alexander",91,48,52.75%
ECE 15,A02,"Vardy, Alexander",85,57,67.06%
ECE 15,A03,"Vardy, Alexander",87,60,68.97%
ECE 153,A01,"Javidi, Tara",21,15,71.43%
ECE 154A,A01,"Milstein, Laurence B.",10,3,30.00%
ECE 158A,A01,"Franceschetti, Massimo",31,10,32.26%
ECE 16,A01,"Khoshabeh, Ramsin",23,7,30.43%
ECE 161A,A01,"Rao, Bhaskar D.",67,20,29.85%
ECE 164,A00,"Hall, Drew A.",59,30,50.85%
ECE 166,A01,"Rebeiz, Gabriel",63,29,46.03%
ECE 171B,A01,"Sworder, David D.",22,9,40.91%
ECE 174,A00,"Pal, Piya",96,27,28.13%
ECE 180,A00,"Abi Samra, Nicholas Camill",32,9,28.13%
ECE 182,A01,"Lomakin, Vitaliy",6,3,50.00%
ECE 187,A00,"Liu, Zhaowei",28,5,17.86%
ECE 191,A00,"Cosman, Pamela C.",15,5,33.33%
ECE 25,A51,"Quest, Kevin B",26,7,26.92%
ECE 25,A52,"Quest, Kevin B",25,12,48.00%
ECE 25,A53,"Quest, Kevin B",24,12,50.00%
ECE 25,A54,"Quest, Kevin B",25,10,40.00%
ECE 35,A50,"Taur, Yuan",32,12,37.50%
ECE 35,A51,"Taur, Yuan",29,12,41.38%
ECE 35,A52,"Taur, Yuan",10,5,50.00%
ECE 35,A53,"Taur, Yuan",31,11,35.48%
ECE 35,A54,"Taur, Yuan",20,3,15.00%
ECE 35,B50,"Schurgers, Curt",31,26,83.87%
ECE 35,B51,"Schurgers, Curt",32,24,75.00%
ECE 35,B52,"Schurgers, Curt",30,21,70.00%
ECE 35,B53,"Schurgers, Curt",24,15,62.50%
ECE 35,B54,"Schurgers, Curt",29,24,82.76%
